teacher,learner
помочь,помогать
злоупотреблять,злоупотребить
пойти,идти
проконтролировать,контролировать
покупать,купить
начинать,начать
передавать,передать
возвращаться,вернуться
приходить,прийти
выражать,выразить
разрушать,разрушить
уделять,удалить
достигнуть,достигать
заменить,заменять
заметить,замечать
пообщаться,общаться
оживить,оживлять
помочь,помогать
помочь,помогать
помочь,помогать
поступить,поступать
представить,представлять
принимать,принять
проверить,проверять
разуверить,разуверять
сократить,сокращать
улучшить,улучшать
уступить,уступать
увидеть,видеть
увидеть,видеть
увидеть,видеть
увидеть,видеть
поговорить,говорить
приготовить,готовить
сделать,делать
сделать,делать
сделать,делать
сделать,делать
сделать это,делать
подождать,ждать
пойти,идти
сконцентрироваться,концентрироваться
закончить,кончать
покупать,купить
покупать,купить
"понять,",могут понимать
сможет работать,может работает
пообедать.,обедать
оставаться,остаться
написать,писать
написать,писать
выпить,пить
оплатить,платить
поддерживать,поддержaть
продавать,продать
попросить,просить
вырасти,раститься
связывать,связать
услышать,слышать
потрогать,трогать
убивать и наносить,убить и нанести
узнавать,узнать
охарактеризовать как,характеризовать
захотеть,хотеть
почувствовать,чувствовать
почувствовать,чуствовать
вернуться,возвращать
нанести,наносить
переезжать,переехать
прийти,приходить
прийти,приходить
прийти,приходить
проводить,провести
проводить,провести
произойти,происходить
стать,становить
убивать и наносить,убить и нанести
выбрать,выбирать
изменять,изменить
изменяться,измениться
изменить,изменрять
измениться,изменяться
получать,получить
проявляться,проявиться
решать,решить
решать,решить
оказаться,оказываться
отказаться,отказываться
открыть,открывать
показать,показывать
рассмотреть,рассматривать
понять,понимать
понять,понимать
понять,понимать
понять,понимать
понять,понимать
понять,понимать
понять,понимать
писать,написать
забыть,забывать
возникнуть,возникать
выдерживать,выдержать
ответить,отвечать
выбирать,выбрать
сделать,делать
забывать,забыть
записывать,записать
пойти,идти
покупать,купить
покупать,купить
помыть,мыть
называть,назвать
одеваться,одеться
написать,писать
придумывать,придумать
признать,признавать
узнавать,узнать
помогать,помочь
выезжать,выехать
перевести,переводить
говорить,сказать
сравнить,сравнивать
понять,понимать
писать,написать
нанимать,нанять
нанимать,нанять
обсудить,обсуждать
обсудить,обсуждать
отметить,отмечать
отступить,отступать
помочь,помогать
помочь.,помогать
поразить,поражать
